date,open,high,low,close,volume
2026-04-17 00:00:00-04:00,424.82000732421875,431.5799865722656,420.69000244140625,422.7900085449219,48568200
2026-04-20 00:00:00-04:00,421.1499938964844,423.3299865722656,416.29998779296875,418.07000732421875,27582200
2026-04-21 00:00:00-04:00,420.239990234375,427.17999267578125,417.20001220703125,424.1600036621094,32048500
2026-04-22 00:00:00-04:00,426.19000244140625,433.70001220703125,423.6700134277344,432.9200134277344,29378200
2026-04-23 00:00:00-04:00,419.8900146484375,423.6600036621094,411.4100036621094,415.75,38308000
2026-04-24 00:00:00-04:00,416.9700012207031,424.95001220703125,415.79998779296875,424.6199951171875,27457400
2026-04-27 00:00:00-04:00,422.3800048828125,427.1099853515625,417.07000732421875,424.82000732421875,30867300
2026-04-28 00:00:00-04:00,424.57000732421875,429.9200134277344,421.8999938964844,429.25,30438100
2026-04-29 00:00:00-04:00,424.5799865722656,426.82000732421875,420.2900085449219,424.4599914550781,38288300
2026-04-30 00:00:00-04:00,410.80999755859375,414.4200134277344,398.010009765625,407.7799987792969,70909400
2026-05-01 00:00:00-04:00,412.79998779296875,417.1099853515625,410.44000244140625,414.44000244140625,31372400
2026-05-04 00:00:00-04:00,411.5400085449219,420.7799987792969,410.79998779296875,413.6199951171875,28066500
2026-05-05 00:00:00-04:00,415.32000732421875,416.7799987792969,408.79998779296875,411.3800048828125,25700900
2026-05-06 00:00:00-04:00,408.0,418.4200134277344,405.1099853515625,413.9599914550781,30231400
