date,open,high,low,close,volume
2025-07-09,208.8943192909964,210.6888614301138,206.59132988433592,210.4994354248047,48749400
2025-07-10,209.87133445003573,212.8323250717279,209.39279496736208,211.7655792236328,44443600
2025-07-11,209.9311570606941,211.4864217284832,209.2233044426644,210.5193634033203,39765800
2025-07-14,209.293099043616,210.27013683517245,206.910350525426,207.9870758056641,38840100
2025-07-15,208.5852528191871,211.24715053377864,208.28615994072268,208.4755859375,42296300
2025-07-16,209.6619745482938,211.75559423754484,208.0070071659605,209.5223999023437,47490500
2025-07-17,209.93117746335784,211.1574416148312,208.9541396463333,209.38284301757807,48068100
2025-07-18,210.23024956462243,211.1474566075158,209.06380098140497,210.539306640625,48974600
2025-07-21,211.4565208835752,215.1253489161305,210.9879455885212,211.8353576660156,51377400
2025-07-22,212.4933703299684,214.29787667610697,211.5861274580158,213.74954223632807,46404100
2025-07-23,214.3477172095632,214.4972560435483,211.76557859278188,213.5002899169922,46989300
2025-07-24,213.251055366678,215.03563331063384,212.8821827557749,213.11148071289065,46022600
2025-07-25,214.04862920984863,214.58699944946247,212.7525701732737,213.2311248779297,40268800
2025-07-28,213.3806606658472,214.19818019857897,212.41360229785764,213.40060424804688,37858000
2025-07-29,213.53018805628847,214.15828155569844,210.18039662608905,210.6290283203125,51411700
2025-07-30,211.2571158132724,211.74563469104567,207.0898047125579,208.415771484375,45512500
2025-07-31,207.85746883247032,209.2033639475293,206.5315020865265,206.9402618408203,80698400
2025-08-01,210.23023901853355,212.93202387361225,200.8886714237977,201.76600646972656,104434500
2025-08-04,203.8895472057539,207.24933356384108,201.06813110178,202.7330780029297,75109300
2025-08-05,202.7829065525681,204.7170232958933,201.5466782764192,202.3043670654297,44155100
2025-08-06,205.0061502968161,214.7265700698597,204.96626313259569,212.60302734375,108483100
2025-08-07,218.2159523061407,220.1799768073744,215.9229271551449,219.36245727539065,90224800
2025-08-08,220.16003429974123,230.29917810781973,218.58482597462967,228.65419006347656,113854000
2025-08-11,227.4864157407103,229.12329528601256,224.3324234952035,226.7478179931641,61806100
2025-08-12,227.57622481823225,230.36092560837628,226.63802588155733,229.21310424804688,55626200
2025-08-13,230.6304284784954,234.552944884794,229.99163136972763,232.88612365722656,69878500
2025-08-14,233.61473725595164,234.6727183450988,230.41085227691244,232.3371734619141,51916300
2025-08-15,233.5548328767578,233.834298979768,228.9036945156081,231.1494140625,56038700
2025-08-18,231.2592012143754,232.6764979196037,229.6722297518056,230.45074462890625,37476200
2025-08-19,230.8400151681398,232.42698672077373,228.9136940815642,230.1213836669922,39402600
2025-08-20,229.54248102593337,230.0315543310328,225.3404986724704,225.5800323486328,42263900
2025-08-21,225.8395414786139,226.0890658711696,223.3542730460458,224.47213745117188,30621200
2025-08-22,225.7397343895232,228.65417758009715,224.98118568943207,227.3267059326172,42477800
2025-08-25,226.0491451945495,228.86378779922748,225.79962078901823,226.7278594970703,30983100
2025-08-26,226.438403395408,229.0534295301293,224.2625578823749,228.873764038086,54575100
2025-08-27,228.17510050695543,230.4607373856072,227.82576024347395,230.0515289306641,31259500
2025-08-28,230.3809040856524,232.9659733126178,228.90370861616245,232.1175842285156,38074700
2025-08-29,232.0676707602769,232.9360260407387,230.92984008944924,231.6983795166016,39418400
2025-09-02,228.8138823959992,230.4108447009183,226.53822101083423,229.28298950195312,44075600
2025-09-03,236.75874463665696,238.395624134605,233.9141603097862,238.016342163086,66427800
2025-09-04,237.9963808412042,239.4436193831587,236.28964239378743,239.3238525390625,47549400
2025-09-05,239.5434165987409,240.8609127003189,238.0362947520209,239.2340087890625,54870400
2025-09-08,238.844756467826,239.69313028194867,235.89038089866293,237.42745971679688,48999500
2025-09-09,236.54912730927947,238.3257397896772,232.9160527142261,233.9041748046875,66313900
2025-09-10,231.7482872752143,231.9778454619465,225.5201526853384,226.35855102539065,83440800
2025-09-11,226.44839058875493,230.0115911363252,226.21881717306923,229.59239196777344,50208600
2025-09-12,228.78394562468256,234.0638755168574,228.5843291396984,233.62472534179688,55824200
2025-09-15,236.549127145038,237.7368657054393,234.58287368836287,236.24969482421875,42699500
2025-09-16,236.72878926810645,240.76111223381088,235.87043992435724,237.6969451904297,63421100
2025-09-17,238.5153883976145,239.6432435766681,237.27774187166392,238.5353546142578,46508000
2025-09-18,239.5134800259323,240.74113579799257,236.199788714976,237.42745971679688,44249600
2025-09-19,240.77107799962133,245.83144010441063,239.7530294205925,245.032958984375,163741300
2025-09-22,247.82763635806887,256.15178189089505,247.64797087115,255.5928192138672,105517400
2025-09-23,255.3932223520852,256.8504363399061,253.0975947938589,253.9459686279297,60275200
2025-09-24,254.73446948849343,255.2534845023776,250.5624136207024,251.8300018310547,42303700
2025-09-25,252.7282916183988,256.6807646844572,251.2311452680336,256.3813171386719,55202100
2025-09-26,253.61660096533103,257.10994249251326,253.2972024297037,254.97401428222656,46076300
2025-09-29,254.0757261912774,254.5148915782133,252.52867184357527,253.9459686279297,40127700
2025-09-30,254.3751575512532,255.4331385813304,252.6284867333586,254.1455993652344,37704300
2025-10-01,254.55481135315,258.29769267334166,254.44502000530687,254.9640350341797,48713900
2025-10-02,256.09186667190835,257.68882891050583,253.66649683440303,256.6408386230469,42630200
2025-10-03,254.18552630266564,258.7468246365968,253.46689477740225,257.5291442871094,49155600
2025-10-06,257.49920544747016,258.5771679771474,254.56481112131075,256.2016906738281,44664100
