date,open,high,low,close,volume
2025-05-12,529.8358773001077,531.2434692382812,525.7617562628097,531.2434692382812,7793600
2025-05-13,531.6498801343447,536.7549037687634,531.1046916591708,534.7327270507812,7356800
2025-05-14,535.6547135704196,536.6955391447063,533.5432951613367,535.39697265625,5031300
2025-05-15,533.5630713925327,538.5095182163107,533.1467533168634,538.0238037109375,7362200
2025-05-16,538.7275325280139,541.7013538699605,536.9730190779994,541.4932250976562,7255300
2025-05-19,535.9123526778604,542.6728471701973,535.8628010889862,542.04833984375,7766100
2025-05-20,540.4623654796756,541.2950622365233,537.2605699138555,540.1253662109375,7158200
2025-05-21,536.1898889900331,539.9369330263775,530.1530653793247,531.0947875976562,6339500
2025-05-22,530.9262727703801,534.5246018413654,529.7764216758837,531.3426513671875,5816600
2025-05-23,524.810096688613,530.1431547355588,524.4928818026269,527.7542114257812,6455900
2025-05-27,534.0190745955265,538.7772379690934,532.4925344897529,538.5988159179688,6118100
2025-05-28,539.0448282195081,540.1451882629482,534.9013104554458,535.5258178710938,4910500
2025-05-29,540.3929684461187,540.5218388879958,534.0388691283658,537.587646484375,4659500
2025-05-30,536.626075577532,538.6483129572406,531.4813618655656,537.0325317382812,6171500
2025-06-02,535.5356590729748,540.1549682617188,533.1070262140589,540.1549682617188,5933500
2025-06-03,539.7783873392011,544.0804820365687,539.3422244180225,543.2180786132812,4993600
2025-06-04,543.9615318324544,544.8537025093748,542.6629654931935,542.8711547851562,4543400
2025-06-05,544.6851423662704,545.8251315086663,538.5987668351376,540.33349609375,6372100
2025-06-06,545.4980143155444,547.5004069515952,543.9120002787595,545.8548583984375,4736000
2025-06-09,546.4892488564764,547.8770564156325,545.3988718475345,546.439697265625,4516400
2025-06-10,546.9650969814916,549.8992287645939,545.9341334879238,549.5523071289062,5984100
2025-06-11,550.5633807405866,551.3762325554322,546.1026484290911,548.03564453125,20800600
2025-06-12,546.7866182561522,550.1569734657926,546.3207485991272,550.107421875,8422900
