date,open,high,low,close,volume
2026-04-17 00:00:00-04:00,6.03000020980835,6.079999923706055,5.849999904632568,5.940000057220459,48184400
2026-04-20 00:00:00-04:00,5.949999809265137,5.980000019073486,5.820000171661377,5.889999866485596,27473300
2026-04-21 00:00:00-04:00,5.909999847412109,6.050000190734863,5.900000095367432,6.050000190734863,27866700
2026-04-22 00:00:00-04:00,6.139999866485596,6.150000095367432,5.960000038146973,6.059999942779541,22969900
2026-04-23 00:00:00-04:00,6.03000020980835,6.190000057220459,5.96999979019165,6.059999942779541,25731300
2026-04-24 00:00:00-04:00,6.090000152587891,6.150000095367432,5.989999771118164,6.110000133514404,33067500
2026-04-27 00:00:00-04:00,6.21999979019165,6.579999923706055,6.21999979019165,6.519999980926514,62199400
2026-04-28 00:00:00-04:00,6.570000171661377,6.849999904632568,6.460000038146973,6.789999961853027,57352200
2026-04-29 00:00:00-04:00,6.920000076293945,6.96999979019165,6.739999771118164,6.960000038146973,36257100
2026-04-30 00:00:00-04:00,6.900000095367432,6.980000019073486,6.739999771118164,6.820000171661377,38486500
2026-05-01 00:00:00-04:00,6.739999771118164,6.880000114440918,6.579999923706055,6.840000152587891,31967300
2026-05-04 00:00:00-04:00,6.820000171661377,6.940000057220459,6.71999979019165,6.880000114440918,34333700
2026-05-05 00:00:00-04:00,6.320000171661377,6.690000057220459,6.21999979019165,6.25,65009300
2026-05-06 00:00:00-04:00,5.949999809265137,6.389999866485596,5.949999809265137,6.230000019073486,46336600
