date,open,high,low,close,volume
2025-07-09,497.4104769193033,503.8530622357068,496.8537136582796,500.6019592285156,18659500
2025-07-10,500.1445884984204,501.5265750230592,494.8752111441128,498.5836791992188,16492100
2025-07-11,495.5910607887764,502.1131707269345,494.9249170598048,500.4130554199219,16459500
2025-07-14,498.6234399223271,501.0593019842245,498.1362796464767,500.1147766113281,12058800
2025-07-15,500.1147739294682,505.36427783294863,499.88612172349406,502.8986206054688,14927200
2025-07-16,502.2623068754336,503.793421043838,498.99133023831314,502.6997680664063,15154400
2025-07-17,502.7594088608256,510.40499725185873,502.6997578215743,508.7446594238281,17503100
2025-07-18,511.5085942033365,511.6677041033988,504.499323712682,507.1041870117188,21209700
2025-07-21,503.7834776665751,509.1324405638626,502.6301736290422,507.1141357421875,14066800
2025-07-22,508.018867615488,508.2475501614973,502.3517761230469,502.3517761230469,13868600
2025-07-23,503.8232255681408,503.8630030405687,497.80817995491657,502.94830322265625,16396600
2025-07-24,505.8315833881949,510.703277326071,504.3700721726997,507.9294128417969,16107000
2025-07-25,509.5101527540243,515.2965460849812,507.4123538189797,510.7430419921875,19125700
2025-07-28,511.110930710653,512.0256002286585,507.1737799777055,509.5400390625,14308000
2025-07-29,512.5525452747698,514.6304403339567,508.6054427654301,509.609619140625,16469200
2025-07-30,512.1946027794743,512.9701269930791,506.4977159897069,510.2757568359375,26380400
2025-07-31,552.0232408256204,552.2420017670738,528.8280273057109,530.4187622070312,51617300
2025-08-01,531.9100652869249,532.7054326872741,517.8517174087783,521.0829467773438,28977600
2025-08-04,525.2190177406763,535.1413592423181,525.0798117410876,532.5464477539062,25349000
2025-08-05,534.077432699505,534.196734767709,524.194840165689,524.701904296875,19171600
2025-08-06,527.8338028961505,528.6291703469228,521.0034855448089,521.908203125,21355700
2025-08-07,523.757448292983,525.0400367197672,514.5608717763297,517.8319091796875,16079100
2025-08-08,519.5816044995674,521.6297041680745,516.4100264967077,519.0248413085938,15531000
2025-08-11,519.2833770884752,524.542862850504,516.7182612189127,518.7564697265625,20194400
2025-08-12,520.7250669698358,527.9132904806338,519.6811434112465,526.183349609375,18667000
2025-08-13,529.0368026236954,529.6234217995657,516.3703917601634,517.5734252929688,19619200
2025-08-14,519.5419572956574,522.9123929469488,517.13595097363,519.46240234375,20269100
2025-08-15,519.7507304052322,523.0614541020369,516.0820397908819,517.1657104492188,25213300
2025-08-18,518.5775833311014,519.8004600468895,511.0512965888898,514.1134643554688,23760600
2025-08-19,512.0255798217245,512.1846290296555,505.6128201320888,506.8257751464844,21481000
2025-08-20,506.92525053820776,508.0487290990465,501.526618683124,502.7992248535156,27723000
2025-08-21,501.6041452591809,505.5278315490841,500.6381609615915,502.15185546875,18443300
