RegionID,SizeRank,RegionName,RegionType,StateName,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
102001,0,United States,Country,"",1509200.0,1418521.0,1376550.0,1433810.0,1520805.0,1621780.0,1694493.0,1744715.0,1768958.0,1758078.0,1738140.0,1681850.0,1585507.0,1497751.0,1449446.0,1495811.0,1561737.0,1653233.0,1723382.0,1766744.0,1775705.0,1755861.0,1724881.0,1650859.0,1534383.0,1429930.0,1378166.0,1400434.0,1383925.0,1400250.0,1393673.0,1412096.0,1376031.0,1322924.0
394913,1,"New York, NY",Msa,NY,73923.0,68490.0,68058.0,72656.0,79656.0,85724.0,90244.0,92320.0,91747.0,90473.0,89689.0,87429.0,82117.0,76751.0,74443.0,78076.0,83841.0,90604.0,95135.0,96649.0,95110.0,93401.0,91454.0,88011.0,81040.0,74678.0,72234.0,74281.0,71746.0,69785.0,69231.0,75196.0,78928.0,80087.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,21989.0,20101.0,19923.0,21916.0,23889.0,25893.0,27493.0,29190.0,30259.0,30802.0,31016.0,30496.0,28710.0,27074.0,26237.0,27542.0,28815.0,30492.0,31426.0,32136.0,31994.0,31455.0,30476.0,28424.0,25182.0,22396.0,21329.0,21875.0,21546.0,21955.0,22915.0,24917.0,25801.0,26049.0
394463,3,"Chicago, IL",Msa,IL,41713.0,37683.0,36251.0,39436.0,43386.0,47262.0,49290.0,50925.0,51751.0,51576.0,50901.0,48512.0,44290.0,40167.0,38592.0,41209.0,45569.0,49853.0,52617.0,53781.0,54194.0,53900.0,52967.0,50104.0,45334.0,41182.0,39981.0,41559.0,41440.0,41759.0,42215.0,44400.0,44887.0,44030.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,26502.0,24299.0,23217.0,24356.0,26769.0,29559.0,31988.0,33953.0,35133.0,35186.0,34324.0,33088.0,31125.0,29651.0,28972.0,30519.0,32474.0,34915.0,37325.0,39382.0,40433.0,39864.0,38732.0,36957.0,34514.0,32262.0,31316.0,31960.0,32035.0,32925.0,33378.0,34191.0,32985.0,30906.0
394974,5,"Philadelphia, PA",Msa,PA,28471.0,26334.0,24884.0,25858.0,28071.0,30308.0,31390.0,31091.0,30289.0,29666.0,29627.0,29122.0,27618.0,25960.0,24883.0,25949.0,27728.0,29725.0,30831.0,31325.0,30783.0,30022.0,29047.0,27834.0,25634.0,23339.0,22199.0,22258.0,21055.0,20679.0,20796.0,22150.0,22254.0,21541.0
394692,6,"Houston, TX",Msa,TX,31946.0,30490.0,29708.0,31206.0,33126.0,35747.0,37299.0,38499.0,38915.0,38249.0,37309.0,35876.0,34355.0,33416.0,33136.0,34603.0,36074.0,38012.0,40052.0,41729.0,42669.0,41888.0,40663.0,38926.0,37095.0,35824.0,35556.0,36468.0,36504.0,37062.0,36766.0,36649.0,35010.0,33132.0
395209,7,"Washington, DC",Msa,DC,23736.0,22302.0,21031.0,22645.0,26037.0,29001.0,29161.0,27904.0,26394.0,26034.0,25880.0,25012.0,22687.0,19892.0,18201.0,19341.0,21695.0,24487.0,25961.0,26235.0,25361.0,24671.0,24198.0,23134.0,20565.0,18189.0,17220.0,18410.0,18869.0,19456.0,19053.0,19350.0,19015.0,18995.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,52834.0,54132.0,55593.0,58333.0,59464.0,59851.0,58438.0,57134.0,56116.0,55590.0,56011.0,56563.0,56947.0,58194.0,59861.0,62370.0,62823.0,62491.0,61042.0,59591.0,57942.0,56476.0,55923.0,55596.0,55266.0,55485.0,56114.0,56927.0,54967.0,53735.0,52927.0,53225.0,52210.0,50828.0
394347,9,"Atlanta, GA",Msa,GA,31938.0,29794.0,28659.0,29773.0,31181.0,32818.0,34340.0,35818.0,36903.0,36703.0,36232.0,35129.0,33513.0,32215.0,32973.0,34661.0,36343.0,37330.0,38968.0,40305.0,41046.0,40958.0,40664.0,39338.0,37230.0,35504.0,34785.0,35677.0,35864.0,36966.0,36954.0,36739.0,35115.0,33031.0
394404,10,"Boston, MA",Msa,MA,12580.0,10646.0,9601.0,10183.0,11835.0,14169.0,16077.0,16959.0,16805.0,16913.0,17328.0,17086.0,15231.0,13176.0,11973.0,12759.0,14259.0,16566.0,18130.0,18502.0,17637.0,17224.0,17249.0,16616.0,14178.0,11651.0,10538.0,11181.0,11441.0,12277.0,13183.0,14424.0,14537.0,14242.0
395057,11,"San Francisco, CA",Msa,CA,5642.0,4531.0,4350.0,5327.0,6419.0,7448.0,8013.0,8302.0,8310.0,8609.0,9054.0,8934.0,7759.0,6500.0,6100.0,6895.0,7934.0,8941.0,9464.0,9625.0,9279.0,9274.0,9293.0,8782.0,7161.0,5609.0,5234.0,5778.0,6005.0,6549.0,7346.0,8636.0,9231.0,9612.0
394532,12,"Detroit, MI",Msa,MI,16877.0,15234.0,14059.0,14313.0,15275.0,17002.0,18625.0,20085.0,21346.0,21937.0,22111.0,21271.0,19751.0,18165.0,16917.0,16933.0,17481.0,19013.0,20684.0,22295.0,23482.0,24041.0,24053.0,22929.0,20966.0,18983.0,17694.0,17214.0,15706.0,16117.0,16764.0,18500.0,18427.0,17826.0
395025,13,"Riverside, CA",Msa,CA,17906.0,17472.0,17587.0,18595.0,19486.0,20332.0,20982.0,21646.0,21969.0,22048.0,22098.0,21955.0,21273.0,20722.0,20300.0,20878.0,21227.0,21632.0,21688.0,21677.0,21638.0,21337.0,21061.0,20314.0,19105.0,18041.0,17410.0,17358.0,16635.0,16368.0,15944.0,15624.0,14754.0,14012.0
394976,14,"Phoenix, AZ",Msa,AZ,26455.0,26250.0,26500.0,28153.0,29212.0,29619.0,28969.0,27695.0,26635.0,25860.0,26082.0,26298.0,26046.0,26443.0,27252.0,29377.0,30431.0,30888.0,30064.0,28441.0,26742.0,25290.0,24900.0,24339.0,23309.0,22529.0,22380.0,23514.0,23746.0,23985.0,23224.0,22425.0,21385.0,21016.0
395078,15,"Seattle, WA",Msa,WA,9579.0,7682.0,6745.0,7351.0,8399.0,10358.0,12010.0,13439.0,14174.0,14744.0,14977.0,14297.0,12414.0,10702.0,9449.0,10017.0,10838.0,12862.0,14374.0,15393.0,15226.0,14564.0,13683.0,12079.0,9731.0,7806.0,7037.0,7725.0,8356.0,9279.0,9830.0,10694.0,11245.0,11486.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,12370.0,10331.0,9553.0,10373.0,11795.0,13613.0,15155.0,16253.0,16766.0,16757.0,16486.0,15287.0,13276.0,11327.0,10220.0,10597.0,11800.0,13806.0,15802.0,17069.0,17479.0,17300.0,16979.0,15843.0,13802.0,11751.0,10822.0,11540.0,12339.0,13403.0,13852.0,14472.0,14508.0,14372.0
